"","state.abb","total_crime","rank"
"1","AL",41561,38
"2","AK",0,1
"3","AZ",14135,20
"4","AR",38547,37
"5","CA",72035,45
"6","CO",19780,27
"7","CT",0,1
"8","DE",2073,10
"9","FL",79808,47
"10","GA",100959,48
"11","HI",1643,9
"12","ID",14727,21
"13","IL",32548,32
"14","IN",37672,36
"15","IA",16320,22
"16","KS",16599,23
"17","KY",26583,29
"18","LA",47874,40
"19","ME",8057,16
"20","MD",21805,28
"21","MA",0,1
"22","MI",49554,41
"23","MN",30501,31
"24","MS",18397,25
"25","MO",51450,42
"26","MT",12826,19
"27","NE",7203,15
"28","NV",11974,18
"29","NH",249,6
"30","NJ",3215,11
"31","NM",17768,24
"32","NY",33784,33
"33","NC",109068,49
"34","ND",5343,14
"35","OH",52048,43
"36","OK",29184,30
"37","OR",19430,26
"38","PA",745,8
"39","RI",0,1
"40","SC",47432,39
"41","SD",4699,13
"42","TN",77264,46
"43","TX",128054,50
"44","UT",10418,17
"45","VT",451,7
"46","VA",59104,44
"47","WA",34258,35
"48","WV",0,1
"49","WI",33945,34
"50","WY",4315,12
